Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Newfoundland and Labrador,Both sexes,'65-79',2016,1507,1080,71660
Newfoundland and Labrador,Both sexes,'80+',2016,2243,400,17830
Newfoundland and Labrador,Both sexes,'35+',2017,916,2880,314440
Newfoundland and Labrador,Both sexes,'35-49',2017,423,440,104020
Newfoundland and Labrador,Both sexes,'50-64',2017,848,1000,117940
Newfoundland and Labrador,Both sexes,'65-79',2017,1415,1050,74200
Newfoundland and Labrador,Both sexes,'80+',2017,2080,380,18270
Newfoundland and Labrador,Females,'35+',2008,1063,1650,155200
Newfoundland and Labrador,Females,'35-49',2008,609,370,60770
Newfoundland and Labrador,Females,'50-64',2008,1042,600,57580
Newfoundland and Labrador,Females,'65-79',2008,1701,450,26460
Newfoundland and Labrador,Females,'80+',2008,2308,240,10400
Newfoundland and Labrador,Females,'35+',2009,1030,1610,156320
Newfoundland and Labrador,Females,'35-49',2009,631,380,60180
Newfoundland and Labrador,Females,'50-64',2009,1059,620,58540
Newfoundland and Labrador,Females,'65-79',2009,1476,400,27100
Newfoundland and Labrador,Females,'80+',2009,2093,220,10510
Newfoundland and Labrador,Females,'35+',2010,908,1430,157410
Newfoundland and Labrador,Females,'35-49',2010,489,290,59290
Newfoundland and Labrador,Females,'50-64',2010,895,530,59230
Newfoundland and Labrador,Females,'65-79',2010,1380,390,28260
Newfoundland and Labrador,Females,'80+',2010,1976,210,10630
Newfoundland and Labrador,Females,'35+',2011,826,1310,158580
Newfoundland and Labrador,Females,'35-49',2011,410,240,58550
Newfoundland and Labrador,Females,'50-64',2011,706,420,59520
Newfoundland and Labrador,Females,'65-79',2011,1442,430,29820
Newfoundland and Labrador,Females,'80+',2011,1966,210,10680
Newfoundland and Labrador,Females,'35+',2012,871,1390,159620
Newfoundland and Labrador,Females,'35-49',2012,433,250,57760
Newfoundland and Labrador,Females,'50-64',2012,852,510,59860
Newfoundland and Labrador,Females,'65-79',2012,1377,430,31230
Newfoundland and Labrador,Females,'80+',2012,1948,210,10780
Newfoundland and Labrador,Females,'35+',2013,831,1330,160020
Newfoundland and Labrador,Females,'35-49',2013,389,220,56580
Newfoundland and Labrador,Females,'50-64',2013,751,450,59920
Newfoundland and Labrador,Females,'65-79',2013,1378,450,32660
Newfoundland and Labrador,Females,'80+',2013,1843,200,10850
Newfoundland and Labrador,Females,'35+',2014,880,1410,160160
Newfoundland and Labrador,Females,'35-49',2014,414,230,55550
Newfoundland and Labrador,Females,'50-64',2014,900,540,60030
Newfoundland and Labrador,Females,'65-79',2014,1242,420,33830
Newfoundland and Labrador,Females,'80+',2014,2050,220,10730
Newfoundland and Labrador,Females,'35+',2015,906,1450,160060
Newfoundland and Labrador,Females,'35-49',2015,442,240,54290
Newfoundland and Labrador,Females,'50-64',2015,971,580,59730
Newfoundland and Labrador,Females,'65-79',2015,1303,460,35300
Newfoundland and Labrador,Females,'80+',2015,1586,170,10720
Newfoundland and Labrador,Females,'35+',2016,944,1520,161010
Newfoundland and Labrador,Females,'35-49',2016,447,240,53680
Newfoundland and Labrador,Females,'50-64',2016,923,550,59590
Newfoundland and Labrador,Females,'65-79',2016,1414,520,36780
Newfoundland and Labrador,Females,'80+',2016,1920,210,10940
Newfoundland and Labrador,Females,'35+',2017,894,1440,161030
Newfoundland and Labrador,Females,'35-49',2017,418,220,52630
Newfoundland and Labrador,Females,'50-64',2017,861,510,59240
Newfoundland and Labrador,Females,'65-79',2017,1314,500,38040
Newfoundland and Labrador,Females,'80+',2017,1799,200,11120
Newfoundland and Labrador,Males,'35+',2008,1127,1650,146460
Newfoundland and Labrador,Males,'35-49',2008,554,330,59610
Newfoundland and Labrador,Males,'50-64',2008,998,570,57110
Newfoundland and Labrador,Males,'65-79',2008,2177,530,24340
Newfoundland and Labrador,Males,'80+',2008,4244,230,5420
Newfoundland and Labrador,Males,'35+',2009,1060,1570,148170
Newfoundland and Labrador,Males,'35-49',2009,574,340,59230
Newfoundland and Labrador,Males,'50-64',2009,1014,590,58160
Newfoundland and Labrador,Males,'65-79',2009,1941,490,25250
Newfoundland and Labrador,Males,'80+',2009,2536,140,5520
Newfoundland and Labrador,Males,'35+',2010,935,1400,149680
Newfoundland and Labrador,Males,'35-49',2010,461,270,58610
Newfoundland and Labrador,Males,'50-64',2010,901,530,58820
Newfoundland and Labrador,Males,'65-79',2010,1656,440,26570
Newfoundland and Labrador,Males,'80+',2010,2988,170,5690
Newfoundland and Labrador,Males,'35+',2011,881,1330,150930
Newfoundland and Labrador,Males,'35-49',2011,433,250,57740
Newfoundland and Labrador,Males,'50-64',2011,776,460,59260
Newfoundland and Labrador,Males,'65-79',2011,1607,450,28010
Newfoundland and Labrador,Males,'80+',2011,2703,160,5920
Newfoundland and Labrador,Males,'35+',2012,940,1430,152060
Newfoundland and Labrador,Males,'35-49',2012,403,230,57030
Newfoundland and Labrador,Males,'50-64',2012,892,530,59410
Newfoundland and Labrador,Males,'65-79',2012,1626,480,29520
Newfoundland and Labrador,Males,'80+',2012,3115,190,6100
Newfoundland and Labrador,Males,'35+',2013,910,1390,152800
Newfoundland and Labrador,Males,'35-49',2013,393,220,55990
Newfoundland and Labrador,Males,'50-64',2013,887,530,59720
Newfoundland and Labrador,Males,'65-79',2013,1495,460,30760
Newfoundland and Labrador,Males,'80+',2013,2997,190,6340
Newfoundland and Labrador,Males,'35+',2014,969,1480,152760
Newfoundland and Labrador,Males,'35-49',2014,383,210,54850
Newfoundland and Labrador,Males,'50-64',2014,857,510,59540
Newfoundland and Labrador,Males,'65-79',2014,1782,570,31990
Newfoundland and Labrador,Males,'80+',2014,2973,190,6390
Newfoundland and Labrador,Males,'35+',2015,936,1430,152710
Newfoundland and Labrador,Males,'35-49',2015,431,230,53390
Newfoundland and Labrador,Males,'50-64',2015,877,520,59300
Newfoundland and Labrador,Males,'65-79',2015,1584,530,33460
Newfoundland and Labrador,Males,'80+',2015,2283,150,6570
Newfoundland and Labrador,Males,'35+',2016,956,1470,153790
Newfoundland and Labrador,Males,'35-49',2016,417,220,52810
Newfoundland and Labrador,Males,'50-64',2016,844,500,59220
Newfoundland and Labrador,Males,'65-79',2016,1634,570,34880
Newfoundland and Labrador,Males,'80+',2016,2620,180,6870
Newfoundland and Labrador,Males,'35+',2017,945,1450,153420
Newfoundland and Labrador,Males,'35-49',2017,428,220,51400
Newfoundland and Labrador,Males,'50-64',2017,852,500,58700
Newfoundland and Labrador,Males,'65-79',2017,1521,550,36160
Newfoundland and Labrador,Males,'80+',2017,2514,180,7160
Prince Edward Island,Both sexes,'35+',2000,893,650,72790
Prince Edward Island,Both sexes,'35-49',2000,244,80,32790
Prince Edward Island,Both sexes,'50-64',2000,792,180,22730
Prince Edward Island,Both sexes,'65-79',2000,2172,270,12430
Prince Edward Island,Both sexes,'80+',2000,2675,130,4860
Prince Edward Island,Both sexes,'35+',2001,928,680,73250
Prince Edward Island,Both sexes,'35-49',2001,276,90,32550
Prince Edward Island,Both sexes,'50-64',2001,812,190,23390
Prince Edward Island,Both sexes,'65-79',2001,2010,250,12440
Prince Edward Island,Both sexes,'80+',2001,3086,150,4860
Prince Edward Island,Both sexes,'35+',2002,922,680,73740
Prince Edward Island,Both sexes,'35-49',2002,248,80,32270
Prince Edward Island,Both sexes,'50-64',2002,705,170,24100
Prince Edward Island,Both sexes,'65-79',2002,2087,260,12460
Prince Edward Island,Both sexes,'80+',2002,3061,150,4900
Prince Edward Island,Both sexes,'35+',2003,883,660,74780
Prince Edward Island,Both sexes,'35-49',2003,278,90,32350
Prince Edward Island,Both sexes,'50-64',2003,799,200,25020
Prince Edward Island,Both sexes,'65-79',2003,1989,250,12570
Prince Edward Island,Both sexes,'80+',2003,2675,130,4860
Prince Edward Island,Both sexes,'35+',2004,822,620,75470
Prince Edward Island,Both sexes,'35-49',2004,249,80,32110
Prince Edward Island,Both sexes,'50-64',2004,774,200,25840
Prince Edward Island,Both sexes,'65-79',2004,1738,220,12660
Prince Edward Island,Both sexes,'80+',2004,2066,100,4840
Prince Edward Island,Both sexes,'35+',2005,853,650,76200
Prince Edward Island,Both sexes,'35-49',2005,283,90,31800
Prince Edward Island,Both sexes,'50-64',2005,749,200,26690
Prince Edward Island,Both sexes,'65-79',2005,1793,230,12830
Prince Edward Island,Both sexes,'80+',2005,2869,140,4880
Prince Edward Island,Both sexes,'35+',2006,855,660,77150
Prince Edward Island,Both sexes,'35-49',2006,253,80,31660
Prince Edward Island,Both sexes,'50-64',2006,873,240,27480
Prince Edward Island,Both sexes,'65-79',2006,1607,210,13070
Prince Edward Island,Both sexes,'80+',2006,2439,120,4920
Prince Edward Island,Both sexes,'35+',2007,765,600,78450
Prince Edward Island,Both sexes,'35-49',2007,253,80,31580
Prince Edward Island,Both sexes,'50-64',2007,738,210,28450
Prince Edward Island,Both sexes,'65-79',2007,1564,210,13430
Prince Edward Island,Both sexes,'80+',2007,2008,100,4980
Prince Edward Island,Both sexes,'35+',2008,1060,850,80160
Prince Edward Island,Both sexes,'35-49',2008,439,140,31870
Prince Edward Island,Both sexes,'50-64',2008,991,290,29250
Prince Edward Island,Both sexes,'65-79',2008,1942,270,13900
Prince Edward Island,Both sexes,'80+',2008,2734,140,5120
Prince Edward Island,Both sexes,'35+',2009,1072,870,81190
Prince Edward Island,Both sexes,'35-49',2009,504,160,31740
Prince Edward Island,Both sexes,'50-64',2009,1032,310,30050
Prince Edward Island,Both sexes,'65-79',2009,1965,280,14250
Prince Edward Island,Both sexes,'80+',2009,2703,140,5180
Prince Edward Island,Both sexes,'35+',2010,1192,980,82230
Prince Edward Island,Both sexes,'35-49',2010,507,160,31540
Prince Edward Island,Both sexes,'50-64',2010,1170,360,30780
Prince Edward Island,Both sexes,'65-79',2010,2183,320,14660
Prince Edward Island,Both sexes,'80+',2010,2667,140,5250
Prince Edward Island,Both sexes,'35+',2011,1157,960,83000
Prince Edward Island,Both sexes,'35-49',2011,385,120,31160
Prince Edward Island,Both sexes,'50-64',2011,1127,350,31050
Prince Edward Island,Both sexes,'65-79',2011,2268,350,15430
Prince Edward Island,Both sexes,'80+',2011,2612,140,5360
Prince Edward Island,Both sexes,'35+',2012,1220,1020,83600
Prince Edward Island,Both sexes,'35-49',2012,361,110,30500
Prince Edward Island,Both sexes,'50-64',2012,1146,360,31410
Prince Edward Island,Both sexes,'65-79',2012,2159,350,16210
Prince Edward Island,Both sexes,'80+',2012,3650,200,5480
Prince Edward Island,Both sexes,'35+',2013,1200,1010,84140
