Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Males,'35-49',2013,273,9640,3533120
Canada,Males,'50-64',2013,282,10130,3590650
Canada,Males,'65-79',2013,360,6720,1864620
Canada,Males,'80+',2013,411,2390,581980
Canada,Males,'1+',2014,462,75350,16322890
Canada,Males,'1-19',2014,1163,38760,3333710
Canada,Males,'20-34',2014,225,7410,3297360
Canada,Males,'35-49',2014,265,9320,3510580
Canada,Males,'50-64',2014,284,10350,3645750
Canada,Males,'65-79',2014,360,7000,1943660
Canada,Males,'80+',2014,424,2510,591840
Canada,Males,'1+',2015,446,73530,16472110
Canada,Males,'1-19',2015,1105,37190,3366730
Canada,Males,'20-34',2015,221,7250,3287270
Canada,Males,'35-49',2015,263,9220,3506640
Canada,Males,'50-64',2015,280,10310,3683770
Canada,Males,'65-79',2015,357,7210,2021070
Canada,Males,'80+',2015,389,2360,606630
Canada,Males,'1+',2016,430,71580,16659040
Canada,Males,'1-19',2016,1058,36040,3407100
Canada,Males,'20-34',2016,211,6940,3287370
Canada,Males,'35-49',2016,246,8680,3526330
Canada,Males,'50-64',2016,276,10230,3707750
Canada,Males,'65-79',2016,349,7340,2102810
Canada,Males,'80+',2016,374,2350,627710
Canada,Males,'1+',2017,421,70690,16808100
Canada,Males,'1-19',2017,1032,35500,3439220
Canada,Males,'20-34',2017,207,6780,3278220
Canada,Males,'35-49',2017,241,8550,3547090
Canada,Males,'50-64',2017,272,10110,3710360
Canada,Males,'65-79',2017,339,7400,2184600
Canada,Males,'80+',2017,364,2360,648640
Newfoundland and Labrador,Both sexes,'1+',2008,437,2150,491660
Newfoundland and Labrador,Both sexes,'1-19',2008,1099,1020,92780
Newfoundland and Labrador,Both sexes,'20-34',2008,317,290,91400
Newfoundland and Labrador,Both sexes,'35-49',2008,283,330,116770
Newfoundland and Labrador,Both sexes,'50-64',2008,232,270,116570
Newfoundland and Labrador,Both sexes,'65-79',2008,306,170,55580
Newfoundland and Labrador,Both sexes,'80+',2008,377,70,18560
Newfoundland and Labrador,Both sexes,'1+',2009,489,2420,494650
Newfoundland and Labrador,Both sexes,'1-19',2009,1140,1050,92070
Newfoundland and Labrador,Both sexes,'20-34',2009,340,310,91300
Newfoundland and Labrador,Both sexes,'35-49',2009,346,400,115700
Newfoundland and Labrador,Both sexes,'50-64',2009,311,370,119070
Newfoundland and Labrador,Both sexes,'65-79',2009,330,190,57590
Newfoundland and Labrador,Both sexes,'80+',2009,423,80,18900
Newfoundland and Labrador,Both sexes,'1+',2010,503,2500,496740
Newfoundland and Labrador,Both sexes,'1-19',2010,1357,1240,91360
Newfoundland and Labrador,Both sexes,'20-34',2010,308,280,90880
Newfoundland and Labrador,Both sexes,'35-49',2010,333,380,114030
Newfoundland and Labrador,Both sexes,'50-64',2010,306,370,120780
Newfoundland and Labrador,Both sexes,'65-79',2010,348,210,60410
Newfoundland and Labrador,Both sexes,'80+',2010,259,50,19290
Newfoundland and Labrador,Both sexes,'1+',2011,434,2160,497920
Newfoundland and Labrador,Both sexes,'1-19',2011,1181,1070,90620
Newfoundland and Labrador,Both sexes,'20-34',2011,255,230,90050
Newfoundland and Labrador,Both sexes,'35-49',2011,294,330,112140
Newfoundland and Labrador,Both sexes,'50-64',2011,238,290,121720
Newfoundland and Labrador,Both sexes,'65-79',2011,251,160,63670
Newfoundland and Labrador,Both sexes,'80+',2011,305,60,19680
Newfoundland and Labrador,Both sexes,'1+',2012,386,1920,498050
Newfoundland and Labrador,Both sexes,'1-19',2012,1002,900,89860
Newfoundland and Labrador,Both sexes,'20-34',2012,248,220,88550
Newfoundland and Labrador,Both sexes,'35-49',2012,290,320,110340
Newfoundland and Labrador,Both sexes,'50-64',2012,229,280,122320
Newfoundland and Labrador,Both sexes,'65-79',2012,224,150,66900
Newfoundland and Labrador,Both sexes,'80+',2012,249,50,20080
Newfoundland and Labrador,Both sexes,'1+',2013,433,2150,497100
Newfoundland and Labrador,Both sexes,'1-19',2013,1090,970,88980
Newfoundland and Labrador,Both sexes,'20-34',2013,299,260,86960
Newfoundland and Labrador,Both sexes,'35-49',2013,334,360,107840
Newfoundland and Labrador,Both sexes,'50-64',2013,261,320,122830
Newfoundland and Labrador,Both sexes,'65-79',2013,257,180,70000
Newfoundland and Labrador,Both sexes,'80+',2013,244,50,20480
Newfoundland and Labrador,Both sexes,'1+',2014,410,2020,492870
Newfoundland and Labrador,Both sexes,'1-19',2014,1095,960,87710
Newfoundland and Labrador,Both sexes,'20-34',2014,250,210,83960
Newfoundland and Labrador,Both sexes,'35-49',2014,275,290,105300
Newfoundland and Labrador,Both sexes,'50-64',2014,253,310,122740
Newfoundland and Labrador,Both sexes,'65-79',2014,303,220,72620
Newfoundland and Labrador,Both sexes,'80+',2014,195,40,20540
Newfoundland and Labrador,Both sexes,'1+',2015,397,1940,488930
Newfoundland and Labrador,Both sexes,'1-19',2015,994,860,86530
