Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Manitoba,Other Renewables and Landfill Gas,2033,7.7792,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2033,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2034,9.0947,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2034,0.5706,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2034,8.305,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2034,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2035,9.2015,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2035,0.5708,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2035,8.8362,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2035,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2036,9.0947,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2036,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2036,9.372,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2036,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2037,9.0946,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2037,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2037,9.9126,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2037,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2038,9.0947,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2038,0.5708,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2038,10.457,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2038,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2039,9.0868,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2039,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2039,11.0024,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2039,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2040,9.0366,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2040,0.5706,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2040,11.5481,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2040,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2041,8.9973,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2041,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2041,12.0939,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2041,0,Electric Generation,Petajoules
